permit,PUMA,count,weighted_count,weighted_count_sq
no,03701,12,408,13872
no,03702,3,51,867
no,03703,1,13,169
no,03704,28,1176,49392
no,03705,61,7259,863821
no,03707,2,434,94178
no,03708,17,799,37553
no,03709,21,1806,155316
no,03710,22,4092,761112
no,03801,22,4950,1113750
no,03802,19,513,13851
no,03804,20,360,6480
no,03806,2,76,2888
no,03807,15,1455,141135
no,03902,2,32,512
no,04002,25,750,22500
no,04003,7,1365,266175
no,04004,3,45,675
no,04005,1,13,169
no,04006,1,60,3600
no,04007,6,84,1176
no,04008,14,1036,76664
no,04009,1,54,2916
no,04012,39,3783,366951
no,04013,11,572,29744
no,04014,26,962,35594
no,04016,2,98,4802
no,04017,13,1378,146068
no,04018,4,248,15376
no,04101,49,4557,423801
no,04102,58,41470,29651050
no,04103,17,2822,468452
no,04105,9,684,51984
no,04106,12,816,55488
no,04107,188,79148,33321308
no,04108,2,114,6498
no,04109,73,3212,141328
no,04110,27,378,5292
no,04111,32,1792,100352
no,04112,13,1014,79092
no,04113,9,414,19044
no,04114,1,44,1936
yes,03701,1,34,1156
yes,03704,9,378,15876
yes,03705,11,1309,155771
yes,03707,1,217,47089
yes,03708,7,329,15463
yes,03709,7,602,51772
yes,03710,3,558,103788
yes,03801,5,1125,253125
yes,03802,3,81,2187
yes,03806,3,114,4332
yes,03807,7,679,65863
yes,03902,7,112,1792
yes,04002,3,90,2700
yes,04003,2,390,76050
yes,04004,2,30,450
yes,04005,1,13,169
yes,04007,3,42,588
yes,04008,3,222,16428
yes,04009,2,108,5832
yes,04012,9,873,84681
yes,04013,10,520,27040
yes,04014,7,259,9583
yes,04016,4,196,9604
yes,04017,5,530,56180
yes,04018,1,62,3844
yes,04101,30,2790,259470
yes,04102,19,13585,9713275
yes,04103,20,3320,551120
yes,04104,4,308,23716
yes,04105,2,152,11552
yes,04106,9,612,41616
yes,04107,20,8420,3544820
yes,04108,1,57,3249
yes,04109,24,1056,46464
yes,04110,14,196,2744
yes,04111,2,112,6272
yes,04112,2,156,12168
yes,04113,3,138,6348
