permit,PUMA,count,weighted_count,weighted_count_sq
no,03701,8,272,9248
no,03702,1,17,289
no,03703,1,13,169
no,03704,1,42,1764
no,03705,12,1428,169932
no,03707,2,434,94178
no,03708,10,470,22090
no,03709,2,172,14792
no,03710,3,558,103788
no,03801,2,450,101250
no,03802,4,108,2916
no,03804,2,36,648
no,04002,8,240,7200
no,04003,4,780,152100
no,04007,1,14,196
no,04012,2,194,18818
no,04017,4,424,44944
no,04102,13,9295,6645925
no,04103,5,830,137780
no,04107,55,23155,9748255
no,04109,22,968,42592
no,04110,3,42,588
no,04111,2,112,6272
no,04112,2,156,12168
no,04113,2,92,4232
yes,03702,2,34,578
yes,03704,7,294,12348
yes,03705,21,2499,297381
yes,03708,4,188,8836
yes,03709,15,1290,110940
yes,03710,23,4278,795708
yes,03802,50,1350,36450
yes,03804,14,252,4536
yes,03806,1,38,1444
yes,03807,19,1843,178771
yes,03808,1,17,289
yes,03902,4,64,1024
yes,04003,6,1170,228150
yes,04006,2,120,7200
yes,04007,3,42,588
yes,04011,1,61,3721
yes,04013,2,104,5408
yes,04014,2,74,2738
yes,04016,1,49,2401
yes,04017,2,212,22472
yes,04101,1,93,8649
yes,04102,3,2145,1533675
yes,04103,1,166,27556
yes,04105,1,76,5776
yes,04107,2,842,354482
yes,04109,1,44,1936
yes,04112,1,78,6084
