permit,Zip Code,count,weighted_count,weighted_count_sq
no,10003,1,0.09041095890410959,0.008174141489960594
no,10026,2,0.010958904109589041,6.004878964158379e-5
no,10027,4,0.13150684931506848,0.004323512854194032
no,10029,2,0.038356164383561646,7.355976731094015e-4
no,10032,1,0.019178082191780823,3.6779883655470075e-4
no,10033,1,0.06301369863013699,0.003970726215049729
no,10451,4,0.0547945205479452,7.506098705197973e-4
no,10452,6,0.06575342465753424,7.205854756990054e-4
no,10453,2,0.0273972602739726,3.7530493525989863e-4
no,10457,2,0.03287671232876712,5.40439106774254e-4
no,10458,3,0.13972602739726028,0.006507787577406644
no,10459,3,0.016438356164383564,9.007318446237569e-5
no,10460,2,0.005479452054794521,1.5012197410395947e-5
no,10461,1,0.005479452054794521,3.0024394820791894e-5
no,10463,1,0.005479452054794521,3.0024394820791894e-5
no,10465,1,0.010958904109589041,1.2009757928316758e-4
no,10467,4,0.043835616438356165,4.803903171326703e-4
no,10468,7,0.23013698630136986,0.007566147494839557
no,10472,1,0.010958904109589041,1.2009757928316758e-4
no,10473,1,0.00821917808219178,6.755488834678175e-5
no,11101,2,0.0547945205479452,0.0015012197410395945
no,11104,2,0.021917808219178082,2.4019515856633515e-4
no,11203,1,0.0027397260273972603,7.5060987051979735e-6
no,11206,5,0.0136986301369863,3.7530493525989866e-5
no,11214,1,0.0273972602739726,7.506098705197973e-4
no,11220,2,0.043835616438356165,9.607806342653406e-4
no,11221,4,0.010958904109589041,3.0024394820791894e-5
no,11223,3,0.03287671232876713,3.6029273784950275e-4
no,11237,8,0.06575342465753424,5.40439106774254e-4
no,11355,1,0.038356164383561646,0.001471195346218803
no,11368,55,3.465753424657537,0.21838994182773536
no,11372,8,0.46027397260273967,0.02648151623193845
no,11373,15,0.32876712328767127,0.007205854756990056
no,11385,3,0.016438356164383564,9.007318446237569e-5
no,11419,1,0.010958904109589041,1.2009757928316758e-4
no,11435,2,0.01643835616438356,1.351097766935635e-4
yes,10001,1,0.21643835616438356,0.04684556201914055
yes,10009,1,0.0410958904109589,0.0016888722086695438
yes,10010,1,0.0027397260273972603,7.5060987051979735e-6
yes,10011,1,0.03561643835616438,0.0012685306811784575
yes,10019,6,0.42739726027397257,0.030444736348282982
yes,10023,1,0.038356164383561646,0.001471195346218803
yes,10026,43,0.23561643835616453,0.0012910489772940518
yes,10027,45,1.4794520547945214,0.04863951960968283
yes,10028,1,0.019178082191780823,3.6779883655470075e-4
yes,10029,14,0.2684931506849315,0.00514918371176581
yes,10031,5,0.0821917808219178,0.0013510977669356351
yes,10036,11,3.375342465753425,1.0357215237380375
yes,10451,2,0.0273972602739726,3.7530493525989863e-4
yes,10452,2,0.021917808219178082,2.4019515856633515e-4
yes,10454,5,0.0136986301369863,3.7530493525989866e-5
yes,10455,3,0.07397260273972603,0.0018239819853631076
yes,10457,4,0.06575342465753424,0.001080878213548508
yes,10459,14,0.07671232876712329,4.203415274910866e-4
yes,10460,6,0.01643835616438356,4.503659223118784e-5
yes,10462,5,0.0410958904109589,3.377744417339088e-4
yes,10467,3,0.03287671232876713,3.6029273784950275e-4
yes,10469,2,0.005479452054794521,1.5012197410395947e-5
yes,10472,14,0.15342465753424658,0.0016813661099643463
yes,10473,1,0.00821917808219178,6.755488834678175e-5
yes,11106,1,0.005479452054794521,3.0024394820791894e-5
yes,11209,2,0.010958904109589041,6.004878964158379e-5
yes,11211,1,0.00821917808219178,6.755488834678175e-5
yes,11216,2,0.005479452054794521,1.5012197410395947e-5
yes,11219,1,0.0027397260273972603,7.5060987051979735e-6
yes,11221,4,0.010958904109589041,3.0024394820791894e-5
yes,11223,2,0.021917808219178082,2.4019515856633515e-4
yes,11235,1,0.03287671232876712,0.001080878213548508
yes,11355,1,0.038356164383561646,0.001471195346218803
yes,11368,2,0.12602739726027398,0.007941452430099458
yes,11372,2,0.11506849315068493,0.006620379057984613
yes,11373,1,0.021917808219178082,4.803903171326703e-4
